block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
a_3-16-2,16,1,0,Tyndall Park via Manitoba,1042,3_merged_67227,12581
a_3-16-2,16,1,1,Southdale Centre,2250,3_merged_67227,12580
a_3-16-2,16,1,0,Tyndall Park via Burrows,1044,3_merged_67227,12587
a_3-16-2,16,1,1,St.Vital Centre,1034,3_merged_67227,12586
a_3-16-2,16,1,0,Tyndall Park via Manitoba,1042,3_merged_67227,12585
a_3-16-2,16,1,1,Southdale Centre,1018,3_merged_67227,12584
b_1-2-5,38_merged_67213,1,0,Kildonan Place,3248,1_merged_67229,685_merged_76336
a_2-21-7,21,1,0,Westwood,2928,2_merged_67228,9349_merged_69629
b_1-37-1,37,1,1,Waterford Green,3497,1_merged_67229,4279_merged_77479
a_1-74-1,60,1,1,Downtown,3092,1_merged_67226,5203_merged_68625
a_1-74-5,74_merged_67202,1,1,Polo Park,3093,1_merged_67226,5236_merged_73174
a_3-91-1,91_merged_67199,1,1,Killarney,2479,3_merged_67227,13988
a_3-91-1,91_merged_67199,1,0,St.Norbert,2480,3_merged_67227,13989
a_3-91-1,91_merged_67199,1,1,Killarney,2479,3_merged_67227,13984
a_3-91-1,91_merged_67199,1,0,St.Norbert,2480,3_merged_67227,13985
a_3-91-1,91_merged_67199,1,1,Killarney,2479,3_merged_67227,13986
a_3-91-1,91_merged_67199,1,0,St.Norbert,2480,3_merged_67227,13987
a_3-91-1,91_merged_67199,1,1,Killarney,2479,3_merged_67227,13980
a_3-91-1,91_merged_67199,1,0,St.Norbert,2480,3_merged_67227,13981
a_3-91-1,91_merged_67199,1,1,Killarney,2479,3_merged_67227,13982
a_3-91-1,91_merged_67199,1,0,St.Norbert,2480,3_merged_67227,13983
b_3-37-2,37,1,1,Waterford Green,3497,3_merged_67230,12014_merged_75651
a_1-77-3,77,1,1,Kildonan Place,1453,1_merged_67226,5435_merged_69076
